site_id,model_cfs,comid,usgs_cfs,nwm_cfs
11172955,0.49059857862103523,2809679,0.77,1.0594409763196484
08211800,0.11536144356362568,1653097,,3.884616913172044
11458500,3.715765341173301,948050091,2.31,3.5314699210654945
11264500,286.99366725360454,21609533,245.0,246.84974748247808
08211900,0.11787005436374909,1653465,1.21,0.706293984213099
08211900,0.11787005436374909,1653465,0.77,0.706293984213099
08211900,0.11787005436374909,1653465,1.05,0.706293984213099
11162735,0.42595089022166993,2805011,0.02,0.0
08036500,1731.0209545666708,1150499,5200.0,4320.0471544394195
08036500,1731.0209545666708,1150499,4280.0,4320.0471544394195
08036500,1731.0209545666708,1150499,4740.0,4320.0471544394195
07314500,3.402309097454751,13660637,0.48,1.0594409763196484
07227500,1257.0136065078104,19984864,8.45,11.653850739516132
08188810,0.0,1643099,706.0,566.0946283467988
08188810,0.0,1643099,380.0,566.0946283467988
08188810,0.0,1643099,601.0,566.0946283467988
02087580,11.599970017926161,8785997,5.55,5.297204881598242
11151870,29.91708446858336,8203373,,14.479026676368528
02113850,112.39816122004183,9245516,109.0,110.18186153724344
08082000,27.043184650085475,14033905,,81.57695517661293
08156675,0.4105950213322012,5781223,0.0,6.003498865811341
08156675,0.4105950213322012,5781223,0.0,6.003498865811341
08156675,0.4105950213322012,5781223,0.0,6.003498865811341
11098000,3.3433750618716886,22514774,2.28,4.944057889491693
08159000,17.38775722303666,5781369,7.5,8.828674802663736
08159000,17.38775722303666,5781369,4.94,8.828674802663736
08159000,17.38775722303666,5781369,5.63,8.828674802663736
11173575,2.8522628507648076,2806865,14.0,14.125879684261978
08072730,22.32240195143722,1440237,72.2,45.202814989638334
08072730,22.32240195143722,1440237,53.2,45.202814989638334
08072730,22.32240195143722,1440237,61.2,45.202814989638334
08066380,10.986507105076823,1492338,,18.010496597434024
08192000,3.651860305693884,10892689,0.0,20.835672534286417
08192000,3.651860305693884,10892689,0.0,20.835672534286417
08192000,3.651860305693884,10892689,0.0,20.835672534286417
07346080,2735.8141960568755,1018031,5440.0,5429.9881506303045
07346080,2735.8141960568755,1018031,5180.0,5429.9881506303045
07346080,2735.8141960568755,1018031,5360.0,5429.9881506303045
10336660,7.483110917464134,8941693,6.48,6.7097928500244395
08106050,16.22440162584284,5671175,,34.9615522185484
08102500,75.75764295156831,2572116,1490.0,1480.0390439185487
08102500,75.75764295156831,2572116,1470.0,1480.0390439185487
08102500,75.75764295156831,2572116,1490.0,1480.0390439185487
03451000,59.13728697466534,22161688,33.0,34.9615522185484
08076000,145.14314087341725,1440183,139.0,120.06997731622681
08076000,145.14314087341725,1440183,93.6,120.06997731622681
08076000,145.14314087341725,1440183,108.0,120.06997731622681
11532500,439.7209858366594,22226820,440.0,353.85328609076254
